species,a10,a11,a12,a5,a6,a7,a8,a9,b10,b11,b12,b1,b2,b3,b4,b5,b6,b7,b8,b9,c10,c11,c12,c1,c2,c3,c4,c5,c6,c7,c9,d10,d11,d12,d1
actinomyces_urinae,0,0,0,1,22,0,1,0,0,2,0,1,39,2,1,0,1,1,0,0,3,0,0,1,0,4,5,0,4,6,4,1102,0,4,2
actinomyces_vulturis,2,0,3,11,1,0,0,0,1,0,1,3,18,3,0,0,0,2,3,0,0,0,0,1,0,0,14,3,4,10,8,2,0,2,0
actinomycetospora_chiangmaiensis,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,2,0,0,1,0
actinophytocola_xanthii,14,14,17,14,4,6,1,4,14,10,4,2,1,9,13,20,28,16,10,6,1,3,9,17,17,26,7,7,4,9,36,7,29,8,5
actinophytocola_xinjiangensis,0,2,0,2,0,2,3,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,59,0,1,1,4,0,0,1,13,0,0,0
actinoplanes_derwentensis,0,2,1,2,0,2,4,0,1,0,0,1,2,2,1,0,0,1,2,0,0,1,0,4,0,1,4,1,2,4,0,7,0,0,0
actinoplanes_friuliensis,47,6,4,5,0,1,2,1,0,5,1,2,1,5,0,0,1,0,0,3,0,0,0,8,0,1,10,1,1,8,0,3,0,0,0
actinoplanes_missouriensis,1,3,0,1,1,0,3,0,1,0,2,1,0,0,1,0,0,0,0,1,0,1,0,5,0,2,1,3,23,0,0,7,0,0,0
actinopolymorpha_alba,13,16,14,4,0,0,1,0,22,0,2,0,46,1,31,0,0,0,10,3,0,0,0,41,0,2,7,1,24,1,0,19,0,0,1
actinopolymorpha_cephalotaxi,1,0,0,2,0,2,2,0,0,0,1,1,0,0,4,0,1,0,4,0,0,0,0,3,0,1,2,0,0,1,0,62,0,0,0
actinopolymorpha_singaporensis,0,1,0,3,0,0,0,0,0,2,0,2,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,2,8,0,0,1
actinopolyspora_righensis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
actinopolyspora_xinjiangensis,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,44,0,1,0,0,17,0,1,0
actinosynnema_mirum,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
actinotalea_ferrariae,0,0,4,7,0,1,1,0,3,8,0,1,50,0,0,1,9,5,3,0,0,0,0,4,0,31,18,0,2,3,1,4,0,17,11
actinotignum_schaalii,0,4,11,15,0,2,0,0,0,0,0,0,3,1,0,0,0,0,16,4,0,2,0,6,0,4,0,8,1,2,0,46,1,0,7
acutalibacter_muris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acuticoccus_yangtzensis,0,2,1,10,0,2,3,0,0,14,0,2,1,5,1,0,6,5,2,2,0,1,0,7,1,141,12,11,5,3,0,250,0,4,2
adlercreutzia_equolifaciens,919,30,323,246,0,42,5363,2,72,13,2,229,6,1293,138,0,292,25,1380,800,0,255,73,1791,2,273,1729,181,2831,185,3,1471,68,333,22
advenella_mimigardefordensis,1,2,10,2,0,54,0,0,0,1,0,6,15,2,2,0,2,7,5,6,0,2,0,8,1,4,27,10,0,6,0,1,5,17,0
aequorivita_capsosiphonis,2,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,1,10,2,0,0,0,1,17,0,16,0,3,0,5,2,1,2,1,3
aequorivita_sublithincola,0,2,0,1,0,0,1,0,1,0,0,7,0,7,1,0,0,2,0,0,0,2,0,20,0,0,0,1,0,0,0,2,0,1,1
aequorivita_viscosa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0
aeribacillus_pallidus,1,0,0,0,0,0,0,0,0,0,0,7,3,11,2,0,1,0,0,3,0,0,0,5,0,0,0,297,0,0,0,1,0,4,0
aerococcus_christensenii,0,5,21,15,9,9,4,0,0,2,0,3,0,10,1,0,2,28,6,3,6,4,0,18,3,4,6,3,12,2,21,105,7,66,5
aerococcus_sanguinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aerococcus_suis,0,0,0,2,2,1,2,0,0,1,0,4,7,1,1,2,0,0,2,1,1,1,0,9,0,6,1,0,2,4,7,9,4,6,1
aerococcus_urinae,2,38,45,9,0,3,1,0,0,181,0,6,0,6,0,0,2,12,57,2,2,8,3,8,0,0,7,2,16,5,0,0,0,0,1
aerococcus_urinaeequi,3,7,0,2,1,0,0,0,5,1,6,4,1,3,1,1,0,7,0,0,0,1,2,2,2,0,1,6,2,0,3,0,2,31,1
aerococcus_urinaehominis,0,24,0,4,0,0,1,0,1,0,1,2,7,0,1,0,1,0,1,1,0,0,3,1,0,3,0,0,0,0,5,7,0,0,0
aerococcus_viridans,0,13,0,1,0,0,11,2,0,6,39,0,1,5,0,3,0,7,2,0,0,3,0,4,0,3,12,3,3,3,2,19,0,14,1
aeromicrobium_choanae,4,9,4,0,0,0,0,0,2,2,1,0,3,8,2,0,2,0,17,0,0,0,0,5,0,0,4,1,25,3,1,1,0,1,0
aeromicrobium_erythreum,0,2,1,2,0,2,2,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,2,0,2,3,0,0,1,2,11,0,0,0
aeromicrobium_marinum,2,2,0,0,0,2,0,0,2,6,5,0,0,0,9,0,3,3,7,3,0,1,1,15,0,13,7,3,11,1,1,19,1,5,0
aeromicrobium_massiliense,90,8,3,5,0,3,0,0,1,1,3,1,1,1,0,1,0,1,14,5,0,0,0,4,0,0,14,3,33,0,1,5,0,1,0
aeromonas_eucrenophila,0,0,6,0,112,1,5,384,0,0,0,1,6,1,1,1,1,0,5,1,0,0,0,1,3258,0,0,4,0,2,0,5,0,0,0
aeromonas_fluvialis,8,8,14,11,106,0,4,508,0,0,0,2,1,1,9,4,0,1,69,11,0,1,0,1,37239,8,8,2,45,4,2,41,1,1,0
aeromonas_hydrophila,4,6,1,17,35540,12,23,4541,0,2,4,14,8,6,4,5,2,11,17,10,8,1,1,14,65687,17,23,13,12,8,44,146,3,13,4
aeromonas_salmonicida,9,10,6,11,357,3,6,1461,120,4,0,16,9,12,2,5,0,13,22,8,6,7,2,382,19435,4,7,5,12,12,100,0,329,182,167
aeromonas_schubertii,1,1,6,8,68,7,5,247,2,0,0,2,21,7,5,4,3,3,1,6,290,6,0,4,6885,3,4,6,8,7,9,9,1,0,6
aestuariibacter_aggregatus,1,1,0,0,2,0,0,1,0,1,0,0,4,1,0,1,0,1,0,0,0,1,0,0,13,0,0,0,0,0,3,0,0,0,0
aestuariimicrobium_kwangyangense,0,2,0,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0
aestuariivita_atlantica,0,3,2,12,0,1,2,0,1,0,0,0,1,1,2,0,0,1,3,0,0,0,0,8,0,1,9,2,2,1,1,71,1,0,0
aestuariivita_boseongensis,1,1,3,1,0,0,1,0,0,1,0,0,11,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0
afifella_marina,1,2,1,14,3,1,6,0,1,0,3,0,1,0,12,2,4,0,0,15,0,0,0,7,0,0,13,2,3,2,1,0,2,6,0
afipia_clevelandensis,0,1,3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0
afipia_felis,0,0,2,1,0,0,1,0,2,0,3,1,1,6,0,0,0,0,2,0,1,1,0,3,0,3,1,2,0,0,2,1,0,0,0
agarivorans_gilvus,0,0,4,5,10,0,7,4,0,0,0,5,3,0,2,4,0,18,0,5,4,0,4,7,18,0,2,0,3,2,11,0,2,2,2
aggregatibacter_actinomycetemcomitans,0,12,2,15,169,15,2,30,2,0,0,36,22,9,14,7,1,22,1,10,71,63,55,15,16,961,117,14,7,2,2889,2,3,6,1
agrobacterium_fabrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
agrobacterium_rhizogenes,0,3,1,1,0,0,1,1,0,0,1,0,4,3,0,1,0,7,1,12,0,3,0,12,1,0,5,0,2,0,1,3,0,1,0
agrobacterium_vitis,4,13,20,16,0,6,6,0,2,1,0,7,82,12,3,0,0,16,21,21,0,10,0,3,0,0,13,12,15,109,0,11,2,2,5
agrococcus_carbonis,1,5,0,5,0,0,0,0,1,4,1,2,1,0,0,0,0,0,1,1,0,0,0,10,0,2,0,0,2,1,0,1,0,0,0
agrococcus_casei,1,4,1,4,0,1,1,0,0,2,0,0,4,0,2,0,0,0,2,0,0,1,0,2,0,3,2,0,1,1,0,2,1,3,0
agrococcus_jejuensis,1,1,1,4,1,3,4,0,0,1,11,0,0,3,1,0,0,0,3,0,0,0,0,4,0,2,2,0,3,0,0,7,0,1,0
agrococcus_lahaulensis,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0
agromyces_aureus,0,2,0,2,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,0,0,7,0,0,4,2,19,1,0,1,0,0,1
agromyces_flavus,0,0,0,0,0,2,0,2,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,5,2,1,1,0,2,0
aidingimonas_halophila,3,1,2,2,42,9,0,52,1,0,0,7,54,4,2,8,36,0,7,2,47,5,18,2,47,3,5,84,6,1,13,0,7,3,10
akkermansia_glycaniphila,34,5,92,64,2,1,855,0,2,20,0,52,3,2,22,1,8,12,856,8,0,41,2,40,0,122,1034,26,222,27,0,1337,3,10,5
akkermansia_muciniphila,74359,7515,28410,1919682,5995,91,110512,100,112001,79,360,920443,33,9203,2319,56,301481,346,20074,410,9,633,43,114,23,2369549,133564,998,36847,211,230,195553,401,102,158
albidovulum_xiamenense,3,1,5,3,0,1,3,0,1,11,0,1,1,4,0,0,6,1,1,1,0,2,2,5,1,28,3,1,5,4,0,5,0,9,3
albimonas_donghaensis,0,4,0,2,0,1,3,0,5,0,0,5,0,0,0,0,1,0,4,3,0,0,0,3,0,0,8,3,3,0,0,8,3,1,4
albimonas_pacifica,2,0,3,7,1,0,0,0,0,2,0,6,2,0,1,0,1,0,0,0,0,0,0,5,0,1,6,0,0,2,1,20,0,0,0
alcaligenes_faecalis,61,0,6,3,2,0,0,1,6,0,5,15,73,0,0,1,1,4,4,8,1,0,5,145,3,3,1,2,0,3,18,5,0,2,1
alcanivorax_borkumensis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcanivorax_dieselolei,1,0,1,6,2,9,2,2,0,0,0,2,1,1,0,0,0,0,1,1,0,0,1,4,0,0,14,0,1,2,8,5,0,1,0
alcanivorax_hongdengensis,1,8,8,10,3,0,2,0,5,1,0,3,7,0,1,10,0,5,12,7,0,4,2,13,4,2,54,2,4,6,14,5,1,1,4
alcanivorax_nanhaiticus,2,6,3,1,2,6,2,0,12,3,0,8,1,4,3,2,3,3,3,3,0,1,1,6,6,3,50,1,3,3,3,2,4,2,1
alcanivorax_pacificus,4,0,5,2,2,0,10,2,0,0,0,4,4,3,2,0,2,12,2,1,2,1,0,1,2,0,2,2,7,3,0,3,3,2,0
algibacter_alginicilyticus,0,10,1,2,0,0,0,0,0,0,0,2,0,16,11,0,0,1,1,11,0,0,0,15,0,0,0,15,1,0,0,3,70,32,3
algibacter_aquaticus,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,10,2,0,0,13,0,0,0,0,1,1,0,5,0,0,1,0,1
algibacter_pectinivorans,0,0,0,9,0,0,0,90,0,0,0,2,0,4,0,0,0,8,8,0,13,0,0,5,0,0,1,2,0,0,0,0,4,109,2
