bacillus_weihaiensis,ectothiorhodospira_marina
bacillus_weihaiensis,sphingobium_ummariense
bacillus_xerothermodurans,desnuesiella_massiliensis
bacterium_endosymbiont,candidatus_blochmannia
bacterium_endosymbiont,thermoflexus_hugenholtzii
bacterium_symbiont,shewanella_pealeana
bacteroides_coprosuis,barnesiella_viscericola
bacteroides_coprosuis,psychromonas_ossibalaenae
bacteroides_coprosuis,sutterella_parvirubra
bacteroides_graminisolvens,lachnospiraceae_bacterium
bacteroides_graminisolvens,libanicoccus_massiliensis
bacteroides_graminisolvens,neglecta_timonensis
bacteroides_ihuae,isoptericola_variabilis
bacteroides_neonati,ruminiclostridium_thermocellum
bacteroides_propionicifaciens,tangfeifania_diversioriginum
bacteroides_pyogenes,prevotella_bivia
bartonella_florencae,cruoricaptor_ignavus
bartonella_quintana,rhodococcus_erythropolis
bartonella_tamiae,calditerrivibrio_nitroreducens
bauldia_litoralis,flavobacterium_caeni
bauldia_litoralis,mycobacterium_celeriflavum
bavariicoccus_seileri,secondary_endosymbiont
bdellovibrio_exovorus,flaviramulus_ichthyoenteri
beijerinckia_indica,geodermatophilus_nigrescens
belliella_baltica,lactobacillus_similis
bellilinea_caldifistulae,oligotropha_carboxidovorans
belnapia_moabensis,rhodothermus_profundi
belnapia_moabensis,thermus_brockianus
belnapia_rosea,granulicella_rosea
bergeyella_zoohelcum,enterobacter_cloacae
bernardetia_litoralis,derxia_lacustris
beutenbergia_cavernae,xylanimonas_cellulosilytica
bhargavaea_cecembensis,dialister_pneumosintes
bibersteinia_trehalosi,rodentibacter_pneumotropicus
bifidobacterium_actinocoloniiforme,paenibacillus_stellifer
bifidobacterium_aesculapii,bifidobacterium_bohemicum
bifidobacterium_biavatii,bifidobacterium_scardovii
bifidobacterium_biavatii,collinsella_phocaeensis
bifidobacterium_bohemicum,bifidobacterium_thermophilum
bifidobacterium_bohemicum,endozoicomonas_numazuensis
bifidobacterium_bombi,clostridium_saccharobutylicum
bifidobacterium_callitrichos,candidatus_soleaferrea
bifidobacterium_commune,caulobacter_vibrioides
bifidobacterium_crudilactis,paracoccus_contaminans
bifidobacterium_gallicum,methylocapsa_palsarum
bifidobacterium_lemurum,saccharibacillus_sacchari
bifidobacterium_mongoliense,paraglaciecola_psychrophila
bifidobacterium_stellenboschense,paenibacillus_mucilaginosus
blastococcus_endophyticus,streptomyces_paucisporeus
blastococcus_saxobsidens,micromonospora_yangpuensis
blastopirellula_marina,chitinilyticum_aquatile
blattabacterium_cuenoti,spongiibacterium_flavum
blattella_germanica,lysinibacillus_fusiformis
blochmannia_endosymbiont,photorhabdus_temperata
blochmannia_endosymbiont,pontibacter_akesuensis
bordetella_avium,tenacibaculum_holothuriorum
bordetella_bronchiseptica,shimwellia_blattae
bordetella_bronchiseptica,sphingomonas_changbaiensis
bordetella_genomosp,microbulbifer_mangrovi
bordetella_genomosp,mycobacterium_smegmatis
bordetella_genomosp,candidatus_brocadia
bordetella_genomosp,lacunisphaera_limnophila
bordetella_genomosp,nonlabens_dokdonensis
bordetella_genomosp,roseovarius_nubinhibens
bordetella_genomosp,sunxiuqinia_dokdonensis
bordetella_genomosp,sporosarcina_koreensis
bordetella_genomosp,sphingomonas_melonis
bordetella_genomosp,corynebacterium_imitans
bordetella_genomosp,erysipelothrix_larvae
bordetella_hinzii,corallococcus_coralloides
bordetella_pertussis,chlorobium_phaeobacteroides
bordetella_petrii,erythrobacter_litoralis
bordetella_petrii,flavobacterium_fluvii
bordetella_trematum,myxococcus_xanthus
brachybacterium_phenoliresistens,enterococcus_casseliflavus
brachyspira_hyodysenteriae,desulfotomaculum_hydrothermale
brachyspira_murdochii,halobacillus_halophilus
brachyspira_murdochii,lysinibacillus_sphaericus
brachyspira_murdochii,mycoplasma_bovoculi
brachyspira_murdochii,sciscionella_marina
bradyrhizobium_diazoefficiens,corynebacterium_mustelae
bradyrhizobium_diazoefficiens,nocardioides_dokdonensis
bradyrhizobium_japonicum,tepidimonas_taiwanensis
brevibacillus_laterosporus,methyloceanibacter_stevinii
brevibacillus_massiliensis,geobacter_daltonii
brevibacillus_panacihumi,dehalobacterium_formicoaceticum
brevibacillus_panacihumi,lachnospiraceae_bacterium
brevibacillus_panacihumi,selenomonas_bovis
brevibacillus_panacihumi,thermaerobacter_marianensis
brevibacterium_sandarakinum,nodularia_spumigena
brevundimonas_abyssalis,mycobacterium_leprae
brevundimonas_abyssalis,nocardioides_szechwanensis
brevundimonas_naejangsanensis,candidatus_rhodoluna
brevundimonas_viscosa,helicobacter_cinaedi
brevundimonas_viscosa,methylacidiphilum_infernorum
brevundimonas_viscosa,microterricola_viridarii
brochothrix_thermosphacta,pseudomonas_hussainii
brochothrix_thermosphacta,pseudooceanicola_flagellatus
brucella_melitensis,flavobacterium_haoranii
burkholderia_gladioli,thiobacillus_thioparus
burkholderia_gladioli,zunongwangia_profunda
burkholderia_ubonensis,maritalea_myrionectae
butyricimonas_synergistica,coprobacter_secundus
caballeronia_glebae,pararhizobium_polonicum
caballeronia_zhejiangensis,enterobacter_cloacae
caedibacter_varicaedens,hoeflea_phototrophica
caenispirillum_salinarum,oceanobacillus_oncorhynchi
caenispirillum_salinarum,pontibacter_chinhatensis
caldanaerobacter_subterraneus,cyanobacterium_aponinum
caldanaerobius_fijiensis,tepidimicrobium_xylanilyticum
calderihabitans_maritimus,williamwhitmania_taraxaci
caldicellulosiruptor_bescii,corynebacterium_simulans
caldicellulosiruptor_saccharolyticus,oceanobacillus_timonensis
caldisalinibacter_kiritimatiensis,clostridium_amylolyticum
caldisalinibacter_kiritimatiensis,clostridium_dakarense
caldisalinibacter_kiritimatiensis,clostridium_estertheticum
caldisalinibacter_kiritimatiensis,clostridium_lundense
caldisalinibacter_kiritimatiensis,prevotella_dentasini
caldisalinibacter_kiritimatiensis,romboutsia_timonensis
caldisericum_exile,candidatus_paraburkholderia
calditerricola_satsumensis,ornithinibacillus_halophilus
caldithrix_abyssi,marinibacterium_profundimaris
caloramator_australicus,prolixibacter_bellariivorans
caloramator_mitchellensis,macrococcus_canis
caloramator_quimbayensis,clostridium_argentinense
caloramator_quimbayensis,clostridium_senegalense
caloramator_quimbayensis,lacimicrobium_alkaliphilum
caloranaerobacter_ferrireducens,fusobacterium_perfoetens
caloranaerobacter_ferrireducens,lactococcus_garvieae
caminibacter_mediatlanticus,pajaroellobacter_abortibovis
campylobacter_cuniculorum,listeria_aquatica
campylobacter_fetus,fusobacterium_russii
campylobacter_hepaticus,polaribacter_dokdonensis
campylobacter_hepaticus,streptomyces_cattleya
campylobacter_hominis,pontibacter_ummariensis
campylobacter_hyointestinalis,vibrio_panuliri
campylobacter_iguaniorum,rhodopirellula_baltica
campylobacter_pinnipediorum,candidatus_midichloria
campylobacter_ureolyticus,enterobacter_cloacae
campylobacter_ureolyticus,halobacillus_mangrovi
candidatus_accumulibacter,methylovulum_psychrotolerans
candidatus_arthromitus,geobacillus_thermodenitrificans
candidatus_arthromitus,desulfosporosinus_acididurans
candidatus_arthromitus,mahella_australiensis
candidatus_arthromitus,turicibacter_sanguinis
candidatus_azobacteroides,chitiniphilus_shinanonensis
candidatus_azobacteroides,clostridium_merdae
candidatus_azobacteroides,cohnella_laeviribosi
candidatus_azobacteroides,collinsella_bouchesdurhonensis
candidatus_azobacteroides,collinsella_ihuae
candidatus_azobacteroides,gordonibacter_massiliensis
candidatus_azobacteroides,ndongobacter_massiliensis
candidatus_azobacteroides,slackia_piriformis
candidatus_baumannia,erwinia_amylovora
candidatus_blastococcus,sphingopyxis_fribergensis
candidatus_blochmannia,lachnospiraceae_bacterium
candidatus_blochmannia,lachnospiraceae_bacterium
candidatus_blochmannia,ruminococcaceae_bacterium
candidatus_blochmannia,ruminococcus_flavefaciens
candidatus_blochmannia,croceicoccus_marinus
candidatus_blochmannia,deinococcus_ficus
candidatus_blochmannia,rhodothermus_marinus
candidatus_brocadia,gracilimonas_tropica
candidatus_brocadia,leadbetterella_byssophila
candidatus_burkholderia,xanthomonas_citri
candidatus_burkholderia,nigerium_massiliense
candidatus_chloroploca,sphingopyxis_flava
candidatus_chrysopegis,rhodanobacter_spathiphylli
candidatus_dactylopiibacterium,chryseobacterium_piperi
candidatus_desulforudis,euryhalocaulis_caribicus
candidatus_desulfovibrio,lactobacillus_siliginis
candidatus_doolittlea,candidatus_tachikawaea
candidatus_doolittlea,diplorickettsia_massiliensis
candidatus_erwinia,enterobacter_cloacae
candidatus_fukatsuia,shewanella_baltica
candidatus_fukatsuia,streptomyces_pathocidini
candidatus_gullanella,candidatus_moranella
candidatus_gullanella,enterobacter_cloacae
candidatus_hoaglandella,colwellia_chukchiensis
candidatus_hoaglandella,oleibacter_marinus
candidatus_hoaglandella,secondary_endosymbiont
candidatus_hoaglandella,xenorhabdus_doucetiae
candidatus_ishikawaella,halomonas_huangheensis
candidatus_izimaplasma,pelagibaca_abyssi
candidatus_koribacter,enterobacter_cloacae
candidatus_kryptobacter,flavobacterium_enshiense
candidatus_magnetobacterium,rhizobium_gallicum
candidatus_marispirochaeta,demequina_aurantiaca
candidatus_methanomethylophilus,mycobacterium_franklinii
candidatus_mikella,enterobacter_cloacae
candidatus_mikella,hippea_jasoniae
candidatus_neoehrlichia,terracidiphilus_gabretensis
candidatus_nitrosoglobus,staphylococcus_lutrae
candidatus_nitrospira,helicobacter_canadensis
